CreditScore,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Point Earned,BalanceToSalaryRatio,ActiveCredit,LowSatisfaction,Geography_Germany,Geography_Spain,Gender_Male,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,AgeCategory_Moyen,AgeCategory_Âgé,ProductCategory_2,ProductCategory_3+
808,7,0.0,0,1,23180.37,4,387,0.0,0,0,False,True,True,True,False,False,False,False,True,False
561,7,152759.0,1,0,133167.11,2,377,1.147113974959921,0,1,False,False,True,True,False,False,False,True,True,False
696,4,0.0,1,1,73371.65,3,348,0.0,1,0,False,False,False,False,True,False,False,False,True,False
637,5,98800.0,1,0,122865.55,2,430,0.8041244748875914,0,1,False,True,False,False,False,True,False,False,False,False
690,6,0.0,1,0,160532.88,1,517,0.0,0,1,False,False,True,False,True,False,True,False,True,False
601,8,78892.23,1,1,23703.52,1,876,3.3281513399132314,1,1,False,False,False,False,False,True,False,False,False,False
686,3,185379.02,1,0,64679.07,3,713,2.866091827049661,0,0,True,False,True,False,False,True,False,False,False,False
503,9,0.0,1,1,16274.67,5,916,0.0,1,0,False,True,False,False,False,True,True,False,True,False
533,10,115743.6,0,0,43852.05,3,706,2.6393511967810674,0,0,True,False,False,True,False,False,False,False,False,False
607,7,123859.6,0,1,113051.57,1,859,1.0955929617522184,0,1,False,False,True,False,False,False,True,False,False,False
581,3,135157.05,1,1,32919.42,3,622,4.105568823241016,1,0,True,False,False,False,False,True,True,False,False,False
609,6,0.0,1,1,97416.34,1,717,0.0,1,1,False,False,True,False,False,False,True,False,True,False
583,8,149995.72,1,0,42143.55,1,540,3.5590775082424653,0,1,True,False,True,False,True,False,False,False,True,False
637,9,0.0,0,0,26057.08,5,365,0.0,0,0,False,True,False,True,False,False,False,False,True,False
596,6,0.0,1,0,74835.65,2,458,0.0,0,1,False,False,True,True,False,False,True,False,False,False
661,8,124098.54,1,0,86678.48,2,393,1.4316945602350175,0,1,True,False,True,False,False,True,False,False,False,False
468,1,76318.64,1,1,194783.12,5,819,0.39181140639185574,1,0,False,False,False,True,False,False,False,False,False,False
704,8,129735.3,1,1,179565.57,1,361,0.7224913857852272,1,1,False,False,True,False,True,False,True,False,True,False
651,8,0.0,1,0,137452.57,3,956,0.0,0,0,False,False,False,False,False,False,True,False,False,False
664,5,127421.78,1,0,108876.75,2,923,1.1703197393406826,0,1,True,False,False,False,True,False,True,False,True,False
592,3,96651.03,1,1,3232.82,2,710,29.88757259216654,1,1,False,False,True,True,False,False,True,False,False,False
685,4,137948.51,1,0,113639.64,1,404,1.2139012064697983,0,1,False,True,True,False,True,False,False,False,False,False
850,7,134678.13,1,0,113177.95,3,596,1.1899574081576125,0,0,True,False,False,True,False,False,False,False,False,False
570,5,86568.75,0,1,103660.31,5,307,0.8351114798761466,0,0,True,False,False,False,False,True,False,True,False,False
516,3,145166.09,0,0,111421.45,2,528,1.3028441754781015,0,1,True,False,True,False,False,False,False,False,True,False
593,4,119703.1,1,1,109783.29,3,814,1.0903481727667959,1,0,True,False,False,True,False,False,True,False,True,False
675,6,68065.8,0,0,138777.0,5,543,0.49046534753347076,0,0,False,False,False,False,True,False,True,False,False,False
552,10,132271.12,1,1,46562.02,1,925,2.840690316049088,1,1,True,False,True,False,True,False,True,False,True,False
554,1,0.0,0,1,183492.9,2,593,0.0,0,1,False,True,True,True,False,False,True,False,True,False
815,3,0.0,1,1,94248.16,3,688,0.0,1,0,False,False,False,True,False,False,False,True,False,True
760,6,0.0,0,0,101491.23,4,873,0.0,0,0,False,True,False,False,False,True,True,False,True,False
637,2,133463.1,0,1,93165.34,1,374,1.432524879693675,0,1,False,False,True,False,True,False,True,False,False,False
778,3,145018.49,1,1,126702.41,2,598,1.1445508056965474,1,1,False,False,True,False,False,True,True,False,True,False
778,9,182275.23,1,0,190631.23,4,717,0.956161662694708,0,0,True,False,True,True,False,False,False,False,True,False
689,8,160272.27,1,0,49656.24,2,729,3.227571045027875,0,1,False,False,True,False,False,True,True,False,False,False
631,6,125227.82,0,1,128247.03,2,305,0.9764502425495347,0,1,True,False,False,False,True,False,False,False,True,False
749,8,141782.57,0,0,86333.63,3,678,1.642244485208311,0,0,True,False,False,False,False,False,True,False,True,False
604,0,62732.65,0,1,124954.56,3,948,0.5020396851488641,0,0,False,False,False,True,False,False,False,True,False,False
367,6,93608.28,1,0,168816.73,3,592,0.5544931803075424,0,0,False,True,True,False,True,False,True,False,False,False
540,1,0.0,0,1,108419.41,2,727,0.0,0,1,False,True,True,False,False,False,True,False,False,False
793,3,141806.46,1,0,102921.17,3,447,1.3778028582180106,0,0,False,False,False,True,False,False,True,False,False,False
521,2,0.0,1,1,113089.43,4,243,0.0,1,0,False,False,False,True,False,False,True,False,True,False
682,4,0.0,0,1,105352.55,1,334,0.0,0,1,False,False,True,False,False,False,True,False,False,False
724,3,0.0,0,1,95562.81,2,918,0.0,0,1,False,True,True,False,False,False,True,False,True,False
551,3,0.0,1,1,50578.4,1,936,0.0,1,1,False,False,True,False,True,False,True,False,True,False
739,8,0.0,1,0,191557.1,2,829,0.0,0,1,False,False,False,True,False,False,True,False,True,False
668,4,102486.21,1,1,158379.25,4,823,0.6470895834550079,1,0,False,True,True,True,False,False,True,False,True,False
723,4,0.0,0,1,89972.25,1,886,0.0,0,1,False,False,False,False,True,False,True,False,True,False
697,2,126558.92,1,0,73334.43,5,809,1.7257541136664776,0,0,False,False,False,False,True,False,False,False,False,False
745,9,0.0,1,0,50046.25,3,848,0.0,0,0,False,True,True,False,False,True,False,False,True,False
739,4,0.0,0,0,173321.65,4,804,0.0,0,0,False,False,True,True,False,False,True,False,True,False
705,9,110941.93,1,0,163484.8,3,468,0.6786028511344716,0,0,True,False,False,False,False,False,False,False,True,False
584,4,82696.09,0,0,83058.14,5,925,0.9956290180707384,0,0,False,True,True,False,True,False,True,False,True,False
628,9,155903.82,1,1,71159.84,5,597,2.1908653692114934,1,0,True,False,False,False,False,True,True,False,True,False
728,3,108924.33,1,0,84300.4,4,947,1.292082100653133,0,0,True,False,True,False,True,False,True,False,True,False
666,2,147229.65,1,1,56410.17,3,509,2.6099378899604457,1,0,False,False,False,False,False,True,False,False,False,False
584,9,137727.34,0,1,121102.9,5,581,1.1372659344579323,0,0,True,False,False,False,False,False,False,True,True,False
572,5,98108.79,0,1,119996.95,1,639,0.817587217114959,0,1,False,True,True,True,False,False,False,False,False,False
747,4,80214.36,1,0,115241.96,5,387,0.696045641312927,0,0,False,False,True,False,False,True,True,False,False,False
744,6,73023.17,1,0,78770.86,5,353,0.9270210199429085,0,0,True,False,True,True,False,False,True,False,True,False
707,2,0.0,0,0,130866.95,4,993,0.0,0,0,False,False,True,True,False,False,False,False,True,False
564,2,115761.51,0,1,112350.21,2,792,1.030353923202073,0,1,True,False,False,False,True,False,False,False,False,False
726,4,0.0,0,0,6787.48,5,523,0.0,0,0,False,False,False,False,False,False,True,False,True,False
654,5,112146.12,1,0,75927.35,3,705,1.4769993026320207,0,0,True,False,True,True,False,False,True,False,False,False
571,9,102017.25,0,0,128600.49,4,798,0.793282021849047,0,0,False,False,False,True,False,False,False,False,True,False
755,4,123217.66,0,1,144183.1,3,786,0.8545856304543982,0,0,False,False,True,True,False,False,False,False,True,False
730,5,124053.03,1,0,118591.67,4,593,1.046042980565325,0,0,True,False,False,False,False,False,True,False,False,False
747,1,114959.12,1,0,189362.39,1,727,0.6070820764245929,0,1,False,False,False,False,False,False,True,False,False,False
611,8,100812.33,1,0,147358.27,2,927,0.6841261496477283,0,1,False,False,False,False,False,False,True,False,True,False
850,1,154640.41,1,1,164039.51,4,838,0.9426964717434736,1,0,True,False,True,False,False,False,False,False,False,False
658,2,0.0,1,1,84694.49,3,698,0.0,1,0,False,False,False,False,True,False,False,False,True,False
745,4,98270.34,1,0,133617.43,5,271,0.7354549817716014,0,0,True,False,True,False,False,False,False,False,False,False
543,4,140916.81,1,0,157711.18,1,470,0.8935061959069998,0,1,False,False,True,False,True,False,False,False,False,False
712,9,100606.02,1,0,165693.06,1,542,0.6071794003961277,0,1,False,False,True,False,False,False,False,False,False,False
748,9,122330.7,0,1,124429.19,1,641,0.9831271655214864,0,1,False,True,True,False,False,False,False,True,True,False
725,0,75888.2,0,0,45613.75,2,406,1.6636767712198357,0,1,True,False,True,False,True,False,False,False,False,False
